company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
1 Point System Llc,https://1pointsys.com,https://www.linkedin.com/company/1-point-systems,Fort Mill,US,208,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
1 Resource Group Staffing,https://www.1resourcegroup.com,https://www.linkedin.com/company/1-resource-group-staffing,Houston,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
Eleven Recruiting,https://www.elevenrecruiting.com,https://www.linkedin.com/company/11recruiting,Los Angeles,US,25,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
"11th Hour Staffing, Inc",https://www.11thhourstaffing.com,https://www.linkedin.com/company/11th-hour-staffing-inc,Tipp City,US,20,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
180 Engineering,https://www.180engineering.com,https://www.linkedin.com/company/180engineering,Naperville,US,55,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
"1st Choice, LLC",https://www.1stchoicegov.com,https://www.linkedin.com/company/1st-choice-llc,Silver Spring,US,426,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
20four7VA,https://20four7va.com,https://www.linkedin.com/company/20four7va,Berlin,US,174,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
24 7 Drive,https://www.247drive.nl,https://www.linkedin.com/company/247-drive,Son,NL,128,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
3 Bridge Networks,https://www.3bridgenetworks.com,https://www.linkedin.com/company/3-bridge-networks,,US,48,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
"347 Group, Inc.",https://www.347group.com,https://www.linkedin.com/company/347-group,Granite Bay,US,31,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
360 Customer Inc,https://www.360customer.com,https://www.linkedin.com/company/360-customer-inc.,San Jose,US,61,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
360 Recruitment Limited,https://www.360rec.co.uk,https://www.linkedin.com/company/360-recruitment-limited,Nottingham,GB,92,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
360 Talent,https://www.360talentlondon.com,https://www.linkedin.com/company/360-talent-london,London,GB,114,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
360 Talent Avenue,https://www.360talentavenue.com,https://www.linkedin.com/company/360talentavenue,Henderson,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
361 Services,https://www.361services.com,https://www.linkedin.com/company/361-services,Denver,US,29,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
365 Healthcare Staffing Services,https://www.365healthstaffing.com,https://www.linkedin.com/company/365-healthcare-staffing-services,Torrance,US,78,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
3b Staffing Llc,https://www.3bstaffing.com,https://www.linkedin.com/company/3b-staffing-llc,Iselin,US,303,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
3D Personnel,https://www.3dpersonnel.com,https://www.linkedin.com/company/3d-personnel-ltd,Dublin,IE,313,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
4 Corner Resources,https://www.4cornerresources.com,https://www.linkedin.com/company/4-corner-resources,Orlando,US,188,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
40hrs,https://40hrs.us,https://www.linkedin.com/company/40-hrs,San Jose,US,213,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
4recruitment Services,https://www.4recruitmentservices.com,https://www.linkedin.com/company/4recruitmentservices,Brentwood,GB,59,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
"4staff, Llc",https://www.4staffllc.com,https://www.linkedin.com/company/4staff-llc,Washington,US,15,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
52 Limited,https://52ltd.com,https://www.linkedin.com/company/52-limited,Portland,US,139,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
5280 Staffing Solutions,https://www.5280staffing.com,https://www.linkedin.com/company/5280-staffing-solutions,Denver,US,44,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
52X Consulting LLC,https://www.52xconsulting.com,https://www.linkedin.com/company/52x-consulting-llc,New York,US,19,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
6 Degrees Group,https://www.6degreesgrp.com,https://www.linkedin.com/company/6-degrees-group,Alpharetta,US,184,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
80Twenty,https://www.80twenty.com,https://www.linkedin.com/company/80twenty,San Francisco,US,140,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A&f Consulting,https://www.af-consulting.it,https://www.linkedin.com/company/a&f-consulting,Milan,IT,139,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A-1 Medical Staffing,https://a-1medicalstaffing.com,https://www.linkedin.com/company/a-1-medical-staffing,Clive,US,28,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A Consulting Inc,https://www.aplustechnical.com,https://www.linkedin.com/company/a-consulting-inc-,Rochester,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A For Appointments Limited,https://www.aforappointments.com,https://www.linkedin.com/company/a-for-appointments-limited,Sheffield,GB,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A-Line Staffing Solutions,https://www.alinestaffing.com,https://www.linkedin.com/company/a-line-staffing-solutions,Utica,US,249,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
A New England Nanny,https://www.anewenglandnanny.com,https://www.linkedin.com/company/a-new-england-nanny,Clifton Park,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Blitz company-search + find-people; revenue/headcount filter-qualified server-side
