company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
1-Call Staffing,https://www.1-callstaffing.com,https://www.linkedin.com/company/1-call-staffing,Kingman,US,20,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
One Stop Recruiting,https://1stoprecruiting.com,https://www.linkedin.com/company/1-stop-recruiting,Mesa,US,57,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
1st Choice Personnel,https://www.1stchoicepersonnel.com,https://www.linkedin.com/company/1st-choice-personnel,Omaha,US,70,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
1st Marine Corporation,https://1stmarinecorp.com,https://www.linkedin.com/company/1st-marine-corporation,Norfolk,US,36,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
22nd Century Staffing,https://22ndstaffing.com,https://www.linkedin.com/company/22nd-century-staffing,Mclean,US,68,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
24-Hour Medical Staffing Services,https://www.24-hrmed.com,https://www.linkedin.com/company/24-hour-medical-staffing-services,Diamond Bar,US,76,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
323 Staffing Solutions,https://www.323staffingsolutions.com,https://www.linkedin.com/company/323-staffing-solutions,Owensboro,US,60,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
360 Degree Medicine,https://www.360degreemedicine.com,https://www.linkedin.com/company/360-degree-medicine,Branson,US,27,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
3coast,https://www.3coast.com,https://www.linkedin.com/company/3coast,Webster,US,24,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
6h Talent,https://www.6htalent.com,https://www.linkedin.com/company/6h-talent,Remote,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
804 Technology,https://www.804technology.com,https://www.linkedin.com/company/804-technology,Cottleville,US,47,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
A.D. Susman & Associates,https://www.adsusman.com,https://www.linkedin.com/company/a-d--susman-&-associates,Houston,US,33,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"A Friend Of The Family Home Services, Inc",https://www.afriend.com,https://www.linkedin.com/company/a-friend-of-the-family-home-services-inc.,Athens,US,33,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
A.R. Mazzotta Employment Specialists,https://www.armazzotta.com,https://www.linkedin.com/company/a-r--mazzotta-employment-specialists,Middletown,US,40,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
A-Star Staffing,https://www.astarstaffing.com,https://www.linkedin.com/company/a-star-staffing-inc.,San Diego,US,18,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aaim,https://www.aaimstl.org,https://www.linkedin.com/company/aaim,Saint Louis,US,73,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Aarp Foundation Senior Community Serivce Employment Program,https://aarpworksearch.org,https://www.linkedin.com/company/aarp-foundation-senior-community-serivce-employment-program,Orlando,US,55,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Abc Staffing Llc,https://www.abcstaffingpgh.com,https://www.linkedin.com/company/abc-staffing-llc,Pittsburgh,US,12,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Abel Personnel,https://www.abelpersonnel.com,https://www.linkedin.com/company/abelpersonnel,Harrisburg,US,78,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Abilities Unlimited Inc,https://www.abilitiesunlimitedinc.com,https://www.linkedin.com/company/abilities-unlimited-inc.,Houston,US,37,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
"Ability Works Rehab Services, Llc",https://www.abilityworksrehab.com,https://www.linkedin.com/company/ability-works-rehab-services-llc,Farmington Hills,US,285,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Able Associates,https://www.able.jobs,https://www.linkedin.com/company/able-associates,Fall River,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
Absolute Staffers,https://www.absolutestaffers.com,https://www.linkedin.com/company/absolute-staffers,Fulton,US,28,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,Round 2: Blitz Find People scoped to company.linkedin_url (previously-unsourced companies from the full ICP company universe)
