company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
200 Proof Inc,https://200proofstaffing.com,https://www.linkedin.com/company/200-proof-inc,West Hollywood,US,35,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
3d Medical Staffing,https://www.3dmedicalstaffing.com,https://www.linkedin.com/company/3d-medical-staffing-llc,Salt Lake City,US,33,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
A.N.D. Staffing,https://www.andstaffing.com,https://www.linkedin.com/company/a-n-d-staffing-solutions,Elgin,US,11,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
A Nanny For U,https://www.anannyforu.com,https://www.linkedin.com/company/a-nanny-for-u,Seattle,US,200,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Accountants To You,https://www.accountantstoyou.com,https://www.linkedin.com/company/accountants-to-you,Cincinnati,US,23,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Action Labor and Staffing Connection,https://www.actionlabor.com,https://www.linkedin.com/company/action-labor-and-staffing-connection,West Palm Beach,US,257,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Adams & Garth Staffing,https://www.agstaffing.com/index.html,https://www.linkedin.com/company/adams-&-garth-staffing,Charlottesville,US,63,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Advanced Employment, Inc",https://www.advemp.org,https://www.linkedin.com/company/advanced-employment-inc,Madison,US,39,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Advanced Staffing,https://www.advancedstaffing.net,https://www.linkedin.com/company/advanced-staffing,New Castle,US,36,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Aegistech,https://aegistech.com,https://www.linkedin.com/company/aegistech,New York,US,64,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Affinity Personnel Solutions,https://www.affinitypersonnel.com,https://www.linkedin.com/company/affinity-personnel-solutions,Kenmore,US,13,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
"Aim Staffing, Inc",https://aimstaffinginc.net,https://www.linkedin.com/company/aim-staffing-inc.,Houston,US,16,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Aktiv Personal-Service Gmbh,https://www.aktivpersonalservice.de,https://www.linkedin.com/company/aktivpersonal-service-gmbh,Berlin,DE,61,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Alden Lane Nursery,https://www.aldenlane.com,https://www.linkedin.com/company/alden-lane-nursery,Livermore,US,36,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Altus Recruiting,https://www.altusrecruiting.com,https://www.linkedin.com/company/altus-recruiting,Tustin,US,18,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
American Partners,https://www.americanpartnersinc.com,https://www.linkedin.com/company/american-partners-inc-,Lincoln,US,19,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Ameriresource Group,https://ameriresource.com,https://www.linkedin.com/company/ameriresource-group,Oklahoma City,US,16,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Apac Solution,https://apacsolution.com,https://www.linkedin.com/company/apacsolution,Redmond,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Apollo Technical,https://www.apollotechnical.com,https://www.linkedin.com/company/apollo-technical,Smyrna,US,28,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Applocum,https://www.applocum.com,https://www.linkedin.com/company/applocum-specialist-in-healthcare-recruitment,Manchester,GB,72,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Ascend Personnel Services,https://www.ascendtalent.com,https://www.linkedin.com/company/ascend-personnel-services,Phoenix,US,12,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Atlantic City Public Library,https://www.acfpl.org,https://www.linkedin.com/company/atlantic-city-public-library,Atlantic City,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Atlas Employment Services,https://www.atlasemployment.com,https://www.linkedin.com/company/atlas-employment-services,Schiller Park,US,17,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Automation Experts Ltd,https://www.automationexperts.co.uk,https://www.linkedin.com/company/automation-experts-ltd,Shifnal,GB,18,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Axeo,https://www.axeohr.com,https://www.linkedin.com/company/axeo,Reston,US,20,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Barton Healthcare Staffing,https://www.bartonhealthcarestaffing.com,https://www.linkedin.com/company/barton-healthcare-staffing,Peabody,US,156,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Benson Executive Search,https://www.bensonsearch.com,https://www.linkedin.com/company/benson-search-group,Waltham,US,10,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Executive Search Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Best Driver Resources,https://www.bestdriverresources.com,https://www.linkedin.com/company/best-driver-resources,Miami Lakes,US,15,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Bluecoders,https://bluecoders.com,https://www.linkedin.com/company/bluecoders,Paris,FR,28,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Executive Search Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Boardwalk Staffing,https://boardwalkstaffing.com,https://www.linkedin.com/company/boardwalk-staffing,Charlotte,US,14,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Brandon Consulting Associates,https://brandonconsulting.com/index.html,https://www.linkedin.com/company/brandon-consulting-associates,North Brunswick,US,32,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Brookwoods Group,https://www.brookwoods.com,https://www.linkedin.com/company/brookwoods-group,Houston,US,18,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Building Team Solutions Inc,https://btsjobs.com/contact-us,https://www.linkedin.com/company/building-team-solutions-inc,Austin,US,20,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
California Payroll,https://www.californiapayroll.com,https://www.linkedin.com/company/california-payroll,Brentwood,US,22,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Human Resources Services,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
Cambridge Professional Group,https://www.cambridgeprofessionals.com,https://www.linkedin.com/company/cambridge-professional-group,Atlanta,US,45,">=$1,000,000 (revenue.min filter, exact value not returned by Blitz company-search)",Staffing and Recruiting,,yes,"Round 3: Blitz Find People scoped to company.linkedin_url (final batch of previously-unsourced companies); 2 obvious non-company/government entries (US Army, a UK district council) manually excluded post-hoc"
