company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Kantar,kantar.com,https://www.linkedin.com/company/kantar,London,United Kingdom,24777,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Large global holding-company network (10,001+ employees) -- included per user's explicit decision."
"Adobe Photoshop - Tips, Tricks, & Tutorials",creatorstoolbox.co,https://www.linkedin.com/company/photoshoptutorials,,United States,1187,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Graphic Design,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Marketing Inspiration,honchosearch.com,https://www.linkedin.com/company/inspiring-campaigns,Hertfordshire,United Kingdom,320,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Young & Rubicam,yr.com,https://www.linkedin.com/company/young-&-rubicam,New York,United States,1372,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Large global holding-company network (10,001+ employees) -- included per user's explicit decision."
The Mill,themill.com,https://www.linkedin.com/company/the-mill,London,United Kingdom,790,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Publicis Re:Sources,publicisresources.com,https://www.linkedin.com/company/publicisresources,Paris,France,3843,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Seedily,seedily.ai,https://www.linkedin.com/company/seedilyai,Chester,United Kingdom,26,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Wunderman,wunderman.com,https://www.linkedin.com/company/wunderman,,United States,2017,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Red Dot Design Award,red-dot.org,https://www.linkedin.com/company/red-dot-award,Essen,Germany,91,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
TBWA\Chiat\Day,tbwachiatday.com,https://www.linkedin.com/company/tbwachiatday,Nyc,United States,735,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Gràffica,graffica.info,https://www.linkedin.com/company/graffica-info,Valencia,Spain,82,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
We. Communications,wecommunications.com,https://www.linkedin.com/company/we-comms,Bellevue,United States,1744,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
Pens.com,pens.com,https://www.linkedin.com/company/pens,San Diego,United States,1541,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
MAISON&OBJET,maison-objet.com,https://www.linkedin.com/company/maison&objet,PARIS,France,230,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
adam&eveTBWA,adamandeveddb.com,https://www.linkedin.com/company/adam&evetbwa,London,United Kingdom,456,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,"Round-4 batch (final new-company tranche -- exhausts the ~19,604-company TAM at these filters); in scope per widened filters; holding-company networks included per user's prior decision; not individually hand-vetted."
