"company_name","domain","linkedin_url","hq_city","hq_country","employee_count","estimated_revenue","industry","signal(s)","qualified (yes/no)","notes"
"1000 Days Out","1000daysout.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"100GROUP","100group.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"100ms","100ms.ai","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"101 GenAI","101gen.ai","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"1080 Ventures","1080.ventures","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"12:01","12-01.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"120Water","120water.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"123 Certification Inc.","123arc.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"12 Tech","12tech.io","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"12twenty","12twenty.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"15Element AI","15element.agency","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
"15Five","15five.com","","","","","","SaaS-adjacent industries (Blitz filter)","","yes","Firmographic-qualified via Blitz bulk company+people search 2026-09-21; founder-presence approximated by contact location filter (US/GB/CA), not individually verified"
