first_name,last_name,full_name,title,company_name,company_domain,linkedin_url,email (if found),seniority,source (blitz/clay/both)
Frederik,Rasmussen,Frederik Rasmussen,CEO and President,innRoad,innroad.com,https://www.linkedin.com/in/frederikrasmussen/,,CXO,clay
Alina,Vandenberghe,Alina Vandenberghe,Co-Founder & Co-CEO,Chili Piper,chilipiper.com,https://www.linkedin.com/in/alina-vandenberghe-1548564/,,CXO,clay
Rushabh,Sheth,Rushabh Sheth,Co-founder & CEO,Docsumo,docsumo.com,https://www.linkedin.com/in/rushabhasheth/,,CXO,clay
Simha,Sadasiva,Simha Sadasiva,Co Founder & CEO,Ushur,ushur.ai,https://www.linkedin.com/in/simha-sadasiva-8033211/,,CXO,clay
Craig,Unger,Craig Unger,Founder and CEO,Hyperproof,hyperproof.io,https://www.linkedin.com/in/craigunger/,,CXO,clay
Nicolas,Benenzon,Nicolas Benenzon,CEO & Co-founder,Humand,humand.co,https://www.linkedin.com/in/benenzon/,,CXO,clay
Dafydd,Llewellyn,Dafydd Llewellyn,Chief Executive Officer,HICX,hicx.com,https://www.linkedin.com/in/dafydd-llewellyn-a8050a1/,,CXO,clay
Fayez,Mohamood,Fayez Mohamood,Cofounder & CEO,Bluecore,bluecore.com,https://www.linkedin.com/in/fayez-mohamood-9b88a52/,,CXO,clay
Michael,Gilson,Michael Gilson,Chief Executive Officer,Conversica,conversica.com,https://www.linkedin.com/in/michael-gilson-b3857918/,,CXO,clay
Michael,Dunn,Michael Dunn,Chief Executive Officer and Board Member,Centerbase,centerbase.com,https://www.linkedin.com/in/michaelndunn/,,CXO,clay
