"first_name","last_name","full_name","title","company_name","company_domain","linkedin_url","email (if found)","seniority","source (blitz/clay/both)"
"Ramy","Nassar","Ramy Nassar","Founder + Managing Partner","1000 Days Out","1000daysout.com","https://www.linkedin.com/in/ramynassar","","CXO","blitz"
"Jeff","Brodsly","Jeff Brodsly","Founder & CEO","100GROUP","100group.com","https://www.linkedin.com/in/jeffbrodsly","","CXO","blitz"
"Aniket","Behera","Aniket Behera","Co-Founder","100ms","100ms.ai","https://www.linkedin.com/in/aniketbehera","","CXO","blitz"
"Kshitij","Gupta","Kshitij Gupta","CEO and Co-Founder","100ms","100ms.ai","https://www.linkedin.com/in/guptakshi","","CXO","blitz"
"Janardan","Prasad","Janardan Prasad","Co-Founder & CEO","101 GenAI","101gen.ai","https://www.linkedin.com/in/janardanprasad","","CXO","blitz"
"Michael","Looney","Michael Looney","Co-Founder, Managing Partner","1080 Ventures","1080.ventures","https://www.linkedin.com/in/looneymike","","CXO","blitz"
"Jana","Bobosikova","Jana Bobosikova","Chief Executive Officer","12:01","12-01.com","https://www.linkedin.com/in/janabobosikova","","CXO","blitz"
"Craig","Herman","Craig Herman","Chief Revenue Officer (CRO)","120Water","120water.com","https://www.linkedin.com/in/craig-herman-aab3","","CXO","blitz"
"Greg","Hewitt","Greg Hewitt","VP of Marketing","120Water","120water.com","https://www.linkedin.com/in/gjhewitt","","VP","blitz"
"Claude","Choquet","Claude Choquet","Founder & CEO","123 Certification Inc.","123arc.com","https://www.linkedin.com/in/claude-choquet-3a140b5","","CXO","blitz"
"Sibtay","Shah","Sibtay Shah","Founder","12 Tech","12tech.io","https://www.linkedin.com/in/sibtay","","CXO","blitz"
"Kenny","Berlin","Kenny Berlin","CEO","12twenty","12twenty.com","https://www.linkedin.com/in/kennyberlin","","CXO","blitz"
"John","Sutliffe","John Sutliffe","Chief Revenue Officer","12twenty","12twenty.com","https://www.linkedin.com/in/johnsutliffe","","CXO","blitz"
"Luis","Balaguer","Luis Balaguer","Founder","15Element AI","15element.agency","https://www.linkedin.com/in/lfbalaguer","","CXO","blitz"
"David","Hassell","David Hassell","Vice Chairman, Co-Founder & Evangelist","15Five","15five.com","https://www.linkedin.com/in/davidhassell","","CXO","blitz"
"Georgia","Tregear","Georgia Tregear","Chief Revenue Officer","Humara","15gifts.com","https://www.linkedin.com/in/georgiatregear","","CXO","blitz"
"Andrew","Scott","Andrew Scott","Founder and CEO","1bios","1bioshealth.com","https://www.linkedin.com/in/andyscott999","","CXO","blitz"
"Toby","Hung","Toby Hung","Co-Founder","1Fort AI","1fort.ai","https://www.linkedin.com/in/tobyhung","","CXO","blitz"
"Sam","Caucci","Sam Caucci","Founder & CEO","1Huddle","1huddle.co","https://www.linkedin.com/in/samcaucci","","CXO","blitz"
"Amanda","Kahlow","Amanda Kahlow","Human CEO & Founder","1mind","1mind.com","https://www.linkedin.com/in/amandakahlow","","CXO","blitz"
"Guy","Tuell","Guy Tuell","Principal CEO","1QR: The Point of Interest Marketing Solution","1qr.com","https://www.linkedin.com/in/guytuell","","CXO","blitz"
"George","Bardissi","George Bardissi","Founder & CEO","1Stream","1stream.com","https://www.linkedin.com/in/georgebardissi","","CXO","blitz"
"George","Avetisov","George Avetisov","Founder & CEO","1up","1up.ai","https://www.linkedin.com/in/george-avetisov","","CXO","blitz"
"Gajen","Sunthara","Gajen Sunthara","Founder & Key Shareholder","1upHealth, Inc.","1up.health","https://www.linkedin.com/in/sunthara","","CXO","blitz"
"Nolan","Kelly","Nolan Kelly","Chief Commercial Officer (CCO/CRO)","1upHealth, Inc.","1up.health","https://www.linkedin.com/in/nolanpkelly","","CXO","blitz"
"Jaydev","Dhinoja","Jaydev Dhinoja","Co-Founder","200OK Solutions","200oksolutions.com","https://www.linkedin.com/in/jaydevdhinoja","","CXO","blitz"
"Shekhar","Yadav","Shekhar Yadav","Founder (CTO), 23 Ventures (AI Product Studio)","23 Ventures","23v.co","https://www.linkedin.com/in/shekharyadav","","CXO","blitz"
"Debbie","Popkin","Debbie Popkin","President | Co-Founder","24/7 Software","247software.com","https://www.linkedin.com/in/debbiepopkin","","CXO","blitz"
"Gerald","Hwasta","Gerald Hwasta","Chairman & CEO","24/7 Software","247software.com","https://www.linkedin.com/in/gerald-hwasta-b335","","CXO","blitz"
"Eric","Boduch","Eric Boduch","Founder and Chief Executive Officer","24 and Up","24andup.com","https://www.linkedin.com/in/eric-boduch-a1b61","","CXO","blitz"
"Greg","Kraios","Greg Kraios","Founder / CEO","250ok","250ok.com","https://www.linkedin.com/in/gkraios","","CXO","blitz"
"Scott","Rosenberg","Scott Rosenberg","Co-Founder & CEO","257","257.co","https://www.linkedin.com/in/scottarosenberg","","CXO","blitz"
"Tal","Chalozin","Tal Chalozin","CTO and Co-Founder","257","257.co","https://www.linkedin.com/in/talchalozin","","CXO","blitz"
"Matt","Tabin","Matt Tabin","Co-founder","2am.tech","2am.tech","https://www.linkedin.com/in/matt-tabin-1471331","","CXO","blitz"
"Jon","Bakken","Jon Bakken","VP Strategic Sales, NA","2Checkout","2checkout.com","https://www.linkedin.com/in/jbakken","","VP","blitz"
"James","Riley","James Riley","Founder and CEO","2mee","2mee.com","https://www.linkedin.com/in/jamesriley2mee","","CXO","blitz"
"Kyle","Morrand🥁","Kyle Morrand🥁","Founder & CEO","302 Interactive","302interactive.com","https://www.linkedin.com/in/kylemorrand","","CXO","blitz"
"Pete","Baxter","Pete Baxter","Chief Revenue Officer","345 Global","345.global","https://www.linkedin.com/in/pete-baxter-797a9b22","","CXO","blitz"
"Carl","McCauley","Carl McCauley","CEO","360factors, Inc.","360factors.com","https://www.linkedin.com/in/carlmccauley","","CXO","blitz"
"Jeff","Dumbrell","Jeff Dumbrell","Chief Revenue Officer","365 Retail Markets","365retailmarkets.com","https://www.linkedin.com/in/jeff-dumbrell-365ba713","","CXO","blitz"
"Tony","Danna","Tony Danna","VP of SMB Sales","365 Retail Markets","365retailmarkets.com","https://www.linkedin.com/in/tony-danna-8884b7128","","VP","blitz"
"James","Ridge","James Ridge","Founder & CEO","3B for Salesforce","3b4sf.com","https://www.linkedin.com/in/ridgejames","","CXO","blitz"
"Matt","Jelley BA (Hons)","Matt Jelley BA (Hons)","Chief Revenue Officer (CRO)","3B for Salesforce","3b4sf.com","https://www.linkedin.com/in/mattjelley","","CXO","blitz"
"Cody","Forbes","Cody Forbes","Founder","3ʙɪ","3bi.io","https://www.linkedin.com/in/codyforbes","","CXO","blitz"
"Snehal","Talati","Snehal Talati","Chief Revenue Officer, Profitability Solutions","3C Software","3csoftware.com","https://www.linkedin.com/in/snehaltalati","","CXO","blitz"
"Helen","Brown","Helen Brown","Co-Founder","3Cubed","3cubed.tech","https://www.linkedin.com/in/helen-brown-3cubed","","CXO","blitz"
"Beck","Besecker","Beck Besecker","Founder & CEO","3D Cloud","3dcloud.com","https://www.linkedin.com/in/bbesecker","","CXO","blitz"
"Dmitry","Morozov","Dmitry Morozov","Co-Founder","3DiVi Inc.","3divi.ai","https://www.linkedin.com/in/dmitow","","CXO","blitz"
"Ivan","Makeev","Ivan Makeev","Chief Scientist, Co-founder","3DLOOK","3dlook.ai","https://www.linkedin.com/in/ivan-makeev-52155833","","CXO","blitz"
"Whitney","Cathcart","Whitney Cathcart","Co-Founder and Chief Commercial Officer","3DLOOK","3dlook.ai","https://www.linkedin.com/in/whitneyjoycathcart","","CXO","blitz"
"John","Dogru","John Dogru","CEO - Founder","3DOS","3dos.io","https://www.linkedin.com/in/johndogru","","CXO","blitz"
"Tom","Connard","Tom Connard","Co-Founder","3D Source","3dsource.com","https://www.linkedin.com/in/tomconnard","","CXO","blitz"
"Garry","Hoffman","Garry Hoffman","CEO / Principal / Sales Leadership","3 HTi","3hti.com","https://www.linkedin.com/in/garryhoffman","","CXO","blitz"
"Kumar","G.","Kumar G.","Founder, Managing Partner","3i Partners","3ipartners.net","https://www.linkedin.com/in/kumar-g-9342742","","CXO","blitz"
"Krishna K.","Chittabathini","Krishna K. Chittabathini","Founder & CEO","3K Technologies","3ktechnologies.com","https://www.linkedin.com/in/krishnac","","CXO","blitz"
"Milan","Jankovic","Milan Jankovic","President and Co-Founder","3lite","3lite.co","https://www.linkedin.com/in/jankovicmilan","","CXO","blitz"
"Naman","Aggarwal","Naman Aggarwal","Founder","3Qi Labs","3qilabs.com","https://www.linkedin.com/in/naman-aggarwal-24a13b","","CXO","blitz"
"Dillon","Abend","Dillon Abend","Founder","3rd-i: Safety Made Social","3rd-i.com","https://www.linkedin.com/in/dillon-abend-762976172","","CXO","blitz"
"Grant","Sernick","Grant Sernick","VP - Sales and Marketing","3rdwave","3rdwave.co","https://www.linkedin.com/in/grantsernick","","VP","blitz"
"David","Blauer","David Blauer","CEO, Chief Product Officer, Chief Revenue Officer, Co-Founder, Investor","40grid","40grid.com","https://www.linkedin.com/in/dblauer","","CXO","blitz"
"Peter D.","Yang","Peter D. Yang","CEO","42 | 42 Technologies","42technologies.com","https://www.linkedin.com/in/peteyang","","CXO","blitz"
"Adam","Stevens","Adam Stevens","Co-founder & CEO","44pixels","44pixels.ai","https://www.linkedin.com/in/adamjamesstevens","","CXO","blitz"
"Noam","Yasour","Noam Yasour","Co-founder & CMO","44pixels","44pixels.ai","https://www.linkedin.com/in/noamyasour","","CXO","blitz"
"Amol","Vaidya","Amol Vaidya","Co-founder & CEO","47Billion","47billion.com","https://www.linkedin.com/in/amolvaidya-47billion","","CXO","blitz"
"Rajeev","Dixit","Rajeev Dixit","Co-founder & CTO","47Billion","47billion.com","https://www.linkedin.com/in/rajeevkdixit","","CXO","blitz"
"Supra","Appikonda","Supra Appikonda","Co-Founder and COO","4CRisk.ai","4crisk.ai","https://www.linkedin.com/in/asupradeep","","CXO","blitz"
"Nihar","Rout","Nihar Rout","Co-Founder","4DAlert","4dalert.com","https://www.linkedin.com/in/nihar-rout-b566162","","CXO","blitz"
"Cory","Goodyear","Cory Goodyear","Chief Revenue Officer (CRO)","4D Nav, LLC","4dnav.com","https://www.linkedin.com/in/cory-goodyear-3974603a","","CXO","blitz"
"David","Kelleher","David Kelleher","Founder and CEO","4G Clinical","4gclinical.com","https://www.linkedin.com/in/david-kelleher-042278","","CXO","blitz"
"Marty","Carney","Marty Carney","Co-Founder","4impactdata","4impactdata.com","https://www.linkedin.com/in/marty-carney-368368","","CXO","blitz"
"HR Team","4Ways","HR Team 4Ways","CEO 4Waystech","4WAYSTECH","4waystech.com","https://www.linkedin.com/in/hr-team-4ways-64b632195","","CXO","blitz"
"Anne","Zink","Anne Zink","Chief Executive Officer/Co-Founder","5x5 Technologies Inc.","5x5.ai","https://www.linkedin.com/in/annemzink","","CXO","blitz"
"Jon","Robinson, PhD","Jon Robinson, PhD","Co-Founder","64 Robots","64robots.com","https://www.linkedin.com/in/jonrobinson-phd","","CXO","blitz"
"Michelle","Otto","Michelle Otto","President and CEO","6Storage Software Solutions","6storage.com","https://www.linkedin.com/in/michelle-otto-97a4aa16b","","CXO","blitz"
"⚡M A T T","M I M O","⚡M A T T M I M O","Chief Executive Officer","⚡7ARDIS | AI-powered Smart Technology Solutions","7ardis.co","https://www.linkedin.com/in/mattmimo","","CXO","blitz"
"Shariq","Wagener","Shariq Wagener","Director of Data & AI (Co-founder)","7Dxperts","7dxperts.com","https://www.linkedin.com/in/shariqwagener","","CXO","blitz"
"Jeremy","D.","Jeremy D.","Founder and CEO","7Factor Software","7factor.io","https://www.linkedin.com/in/jduv2683","","CXO","blitz"
"Jordan","Boesch","Jordan Boesch","CEO","7shifts","7shifts.com","https://www.linkedin.com/in/jordan-boesch","","CXO","blitz"
"Ezra","Charm","Ezra Charm","Co-Founder and COO","7taps Microlearning","7taps.com","https://www.linkedin.com/in/ezracharm","","CXO","blitz"
"Andrey","Leites","Andrey Leites","Chief Revenue Officer","7taps Microlearning","7taps.com","https://www.linkedin.com/in/andreyleites","","CXO","blitz"
"Lesley","DeCanio","Lesley DeCanio","Chief Revenue Officer (CRO)","Archie Labs","8base.com","https://www.linkedin.com/in/ldecanio","","CXO","blitz"
"Aravind","Upadhyaya","Aravind Upadhyaya","Founder and CEO","8chili Inc","8chili.com","https://www.linkedin.com/in/aravindupadhyaya","","CXO","blitz"
"Boaz","Hecht","Boaz Hecht","Co-founder & CEO","8Flow","8flow.ai","https://www.linkedin.com/in/boazhecht","","CXO","blitz"
"Josh","Russ","Josh Russ","Co-founder & COO","8Flow","8flow.ai","https://www.linkedin.com/in/josh-russ-4568307a","","CXO","blitz"
"Paul","Pagel","Paul Pagel","Founder, Chairman of the Board","8th Light","8thlight.com","https://www.linkedin.com/in/paul-pagel-2823b34","","CXO","blitz"
"Drew","Oetting","Drew Oetting","Founder","8VC","8vc.com","https://www.linkedin.com/in/drew-oetting-52463337","","CXO","blitz"
"Jake","Medwell","Jake Medwell","Co-Founder and Partner","8VC","8vc.com","https://www.linkedin.com/in/jakemedwellaustin","","CXO","blitz"
"Steve","Deitz","Steve Deitz","CEO / Founder","900lbs","900lbs.com","https://www.linkedin.com/in/steve-deitz-2a46b3a","","CXO","blitz"
"Chad","Salahshour","Chad Salahshour","Founder / President / CEO","911Cellular Technologies","911cellular.com","https://www.linkedin.com/in/chad-salahshour-5b846a11","","CXO","blitz"
"Stephen","Messer","Stephen Messer","Board Member and Co-Founder","960 Media, Inc","960vets.com","https://www.linkedin.com/in/stephenmesser","","CXO","blitz"
"Tom","Hessen","Tom Hessen","CEO","9Lenses","9lenses.com","https://www.linkedin.com/in/tomhessen","","CXO","blitz"
"Marcus","Bush","Marcus Bush","VP of Sales","9Lenses","9lenses.com","https://www.linkedin.com/in/marcus-bush-2760922","","VP","blitz"
"Kobi","Masri","Kobi Masri","Co-Founder & COO","A.Team","a.team","https://www.linkedin.com/in/kobi-masri-0980b639","","CXO","blitz"
"Raphael","Ouzan","Raphael Ouzan","Founder & CEO","A.Team","a.team","https://www.linkedin.com/in/raphaelouzan","","CXO","blitz"
"Sekou","White","Sekou White","VP, Head of Marketing & Partnerships","A.Team","a.team","https://www.linkedin.com/in/sekouwhite","","VP","blitz"
"Dariana","Lago","Dariana Lago","Co-Founder","a11ySolutions","a11ysolutions.com","https://www.linkedin.com/in/dariana-lago","","CXO","blitz"
"Felipe","Pérez","Felipe Pérez","Co-Founder/CEO","a11ySolutions","a11ysolutions.com","https://www.linkedin.com/in/felipe-p%c3%a9rez","","CXO","blitz"
"Chris","Garner","Chris Garner","Co-Founder","hosting.com","a2hosting.com","https://www.linkedin.com/in/chriswgarner","","CXO","blitz"
"Seb","de Lemos","Seb de Lemos","CEO","hosting.com","a2hosting.com","https://www.linkedin.com/in/sebdelemos","","CXO","blitz"
